ID,ゲーム仕様文,ゲーム仕様が含まれるタイトル,プリンセスメーカー,ベスト競馬・ダービースタリオン,卒業 Graduation,ときめきメモリアル,Jリーグプロサッカークラブをつくろう!,実況パワフルプロ野球3,子育てクイズ マイエンジェル,エターナルメロディ,ゲームで発見!!たまごっち,悠久幻想曲,モンスターファーム,プリメ・ゆめみる妖精,ポケットモンスター ルビー・サファイア,nintendogs,アイドルマスター,ウイニングポストワールド,ドラゴンクエストIX 星空の守り人,ドラゴンクエストモンスターズ ジョーカー2,おさわり探偵 なめこ栽培キット,パズル＆ドラゴンズ,艦これ,パワプロアプリ,刀剣乱舞,Fate/Grand Order,共通していた頻度,第一類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる最も類似しているゲーム仕様文,BERTによる第一類似のスコア,第二類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第二に類似しているゲーム仕様文,BERTによる第二類似のスコア,第三類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第三に類似しているゲーム仕様文,BERTによる第三類似のスコア
1738,クエストでアイテムを獲得できる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,クエストでは装備を獲得できる,0.97,0,クエストで育成対象キャラクターを獲得できる,0.96,0,遠征では時間経過でアイテムを獲得できる,0.96
1739,報酬で育成対象キャラクターを獲得できることがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,10,バトル報酬で育成対象キャラクターを獲得できることがある,0.99,10,クエストで育成対象キャラクターを獲得できる,0.95,0,選択肢に応じてパラメータを獲得できる場合がある,0.95
1740,報酬でプレイヤーキャラクターの経験値を獲得,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,10,バトル報酬でプレイヤーキャラクターの経験値を獲得,0.99,0,プレイヤーレベルアップ時にゲーム内通貨を獲得,0.95,9,クエストをクリアするとプレイヤー経験値を獲得,0.94
1741,1定経験値を獲得するとプレイヤーレベルアップ,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,一定経験値を獲得すると育成対象キャラクターのレベルアップ,0.98,0,育成対象キャラクター経験値を一定値獲得するとレベルアップ,0.97,0,クエストをクリアするとプレイヤー経験値を獲得,0.97
1742,バトル報酬でデッキ編成している育成対象キャラクターの経験値を獲得,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,バトル報酬でプレイヤーキャラクターの経験値を獲得,0.92,0,報酬でプレイヤーキャラクターの経験値を獲得,0.91,0,強化合成は所持している別の育成対象キャラクターを消費して任意のキャラクターが経験値を獲得できる,0.91
1743,キャラクター内でも経験値の獲得量は異なる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,キャラクター経験値の獲得量はバトル内の活躍で変動する,0.95,0,強化合成で得られる経験値は消費する育成対象キャラクターごとに異なる,0.94,0,アイテムによってパラメーターの上昇量が異なる,0.94
1744,キャラクター経験値の獲得量はバトル内の活躍で変動する,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,キャラクター内でも経験値の獲得量は異なる,0.95,0,強化合成で得られる経験値は消費する育成対象キャラクターのレベルに応じて変動,0.95,0,関係度は消費アイテムの使用で上昇する,0.95
1745,1定経験値を獲得すると育成対象キャラクターのレベルアップ,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,10,育成対象キャラクター経験値を一定値獲得するとレベルアップ,0.98,0,一定経験値を獲得するとプレイヤーレベルアップ,0.98,0,レベルアップすると育成対象キャラクターのパラメータが上昇,0.96
1746,レベルアップすると育成対象キャラクターのパラメータが上昇,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,5,0,アイテムを装備すると育成対象キャラクターのパラメータが上昇する,0.97,0,装備すると育成対象キャラクターのパラメータが変動,0.97,10,レベルアップするとパラメータが上昇する,0.97
1747,育成対象キャラクターのレベルには上限がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,7,育成キャラクターのレベルには共通の上限値がある,0.97,0,デッキ編成できる育成対象キャラクター数には上限がある,0.97,0,育成対象キャラクターにはレベルがある,0.97
1748,次のレベルまでに必要な経験値の値が確認できる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,獲得できる地図のレベルの決定条件には「プレイヤーキャラクターの職業で最も高いレベルの値」がある,0.94,0,各パラメータごとの経験値が一定値に達すると段階評価があがる,0.93,0,強化合成でレベル上昇する育成対象キャラクターのパラメータの上昇値の予測値が確認できる,0.93
1749,育成対象キャラクターにはレアリティが設定されている,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,育成対象キャラクターには属性が設定されている,0.98,0,育成対象キャラクターにはタイプが設定されている,0.98,0,育成キャラクターにはスキルが設定されている,0.97
1750,レアリティは★の個数で表示される,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,4,10,レアリティは★の数で表示される,0.99,0,パラメータは数字のみで表示される,0.93,0,現在の経験値はバトル中はバーで表示される,0.93
1751,育成対象キャラクターには属性が設定されている,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,9,育成対象キャラクターにはタイプが設定されている,0.99,0,育成対象キャラクターにはレアリティが設定されている,0.98,0,育成キャラクターにはスキルが設定されている,0.98
1752,属性は複数種類存在,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,7,0,特性は複数種類存在,0.97,10,タイプは複数種類存在,0.96,0,スキルは複数種類ある,0.95
1753,属性は体系化されており同1タイプの育成キャラクターグループがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,6,9,タイプは体系化されており同一タイプの育成キャラクターグループがある,0.99,10,育成対象キャラクターには属性が設定されている,0.93,0,育成対象キャラクターにはタイプが設定されている,0.93
1754,ゲーム内では属性ごとに別々のアイコンで表現されている,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,5,10,ゲーム内では属性ごとに別々の色で表現されている,0.99,8,ゲーム内ではタイプごとに別々の色で表現されている,0.98,0,パーティ画面では各キャラクターの関係度が表示されている,0.94
1755,育成キャラクターには複数のパラメータがある,艦これ,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,9,10,育成キャラクターには複数のパラメーターがある,0.99,10,育成キャラクターには複数種類のパラメーターがある,0.99,0,アイテムには複数のパラメータがある,0.97
1756,属性に応じてパラメータの傾向が異なる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,属性に応じて参照するパラメータが異なる,0.97,0,育成方針に応じてパラメータの変動率が変化する,0.96,0,せいかくに応じて育成対象キャラクターのパラメータ上昇値が異なる,0.95
1757,属性は任意に変更不可,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,6,9,タイプは任意に変更不可,0.98,0,性別は任意の変更不可,0.95,0,特性は任意に変更ができない,0.94
1758,育成対象キャラクターにはタイプが設定されている,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,育成対象キャラクターには属性が設定されている,0.99,0,育成対象キャラクターにはレアリティが設定されている,0.98,0,育成キャラクターにはスキルが設定されている,0.98
1759,タイプは複数種類存在,艦これ,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,6,9,タイプは複数種類ある,0.97,0,特性は複数種類存在,0.97,0,属性は複数種類存在,0.96
1760,育成対象キャラクターには武器などを装備できる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,5,10,育成対象キャラクターには武器を装備できる,0.99,9,育成キャラクターは武器を装備できる,0.97,10,育成キャラクターは武器、防具、アクセサリを装備できる,0.95
1761,装備には複数種ある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,育成コマンドには複数種ある,0.94,10,装備には種類がある,0.93,0,スキルは複数種類ある,0.93
1762,装備にはレアリティがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,育成対象キャラクターにはレアリティがある,0.97,0,スキルには所持上限がある,0.95,0,武器にはレベルがある,0.95
1763,装備すると育成対象キャラクターのパラメータが変動,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,10,アイテムを装備すると育成対象キャラクターのパラメータが上昇する,0.98,0,レベルアップすると育成対象キャラクターのパラメータが上昇,0.97,0,イベントでは育成対象キャラクターのパラメータが変動する,0.97
1764,パラメータ変動値は装備前・装備後で比較表示される,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,4,9,装備変更前に選択中の武器を装備した場合のパラメータ変動値が表示される,0.94,0,装備後の値が装備前より高い場合と低い場合でテキストカラーが変化する,0.94,8,派遣前に上昇するパラメータの予測値が表示される,0.94
1765,育成対象キャラクターに応じて装備できる数が異なる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,育成対象キャラクターに応じて装備できる種類が異なる,0.99,0,育成対象キャラクターのタイプごとにスキルが異なる,0.97,10,育成キャラクターに応じて装備制限がある,0.96
1766,育成対象キャラクターに応じて装備できる種類が異なる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,育成対象キャラクターに応じて装備できる数が異なる,0.99,0,育成対象キャラクターのタイプごとにスキルが異なる,0.97,0,レースは育成対象キャラクターのタイプに応じて実行できる内容が異なる,0.96
1767,アイテムを複数種消費して装備をランダムで入手できるコマンドがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,アイテムを複数種消費して育成対象キャラクターをランダムで入手できるコマンドがある,0.99,0,アイテムはアイテムショップでゲーム内通貨を消費して入手できる,0.95,0,育成コマンドを実行するとアイテムを入手することがある,0.95
1768,装備入手時のアイテム消費量は種類ごとに任意に変更できる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,入手時のアイテム消費量は種類ごとに任意に変更できる,1,0,消費アイテムは仮選択時に上昇するパラメーターが確認できる,0.95,0,どの装備を入手できるかはランダムだが消費するアイテム種類の割合に応じた法則がある,0.94
1769,どの装備を入手できるかはランダムだが消費するアイテム種類の割合に応じた法則がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,どの育成対象キャラクター入手できるかはランダムだが消費するアイテム種類の割合に応じた法則がある,0.99,0,どのパラメータが上昇するかは使用する消費アイテムによって異なる,0.94,0,スキルには選択したパラメータの上昇量が増加するものがある,0.94
1770,装備入手コマンドには成功失敗がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,育成コマンドには成功失敗がある,0.98,0,捕獲コマンドには成功失敗がある,0.97,0,所持金を増やすコマンドには成功失敗がある,0.96
1771,失敗した場合装備は作成されない,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,失敗時はパラメータが上昇しない,0.93,0,プレイヤーが敗北した場合最寄りの街まで戻される,0.92,0,未獲得の称号はリスト表示されない,0.91
1772,アイテムを複数種消費して育成対象キャラクターをランダムで入手できるコマンドがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,アイテムを複数種消費して装備をランダムで入手できるコマンドがある,0.99,0,強化合成は所持している別の育成対象キャラクターを消費して任意のキャラクターが経験値を獲得できる,0.96,0,進化合成は特定の育成対象キャラクターを消費して進化させることができる,0.95
1773,入手コマンド実行には専用コストがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,入手コマンド設定枠には上限がある,0.92,0,プレイヤーの専用コマンドは使用回数に上限がある,0.92,0,クエスト挑戦にはコストが必要ない,0.92
1774,入手時のアイテム消費量は種類ごとに任意に変更できる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,装備入手時のアイテム消費量は種類ごとに任意に変更できる,1,0,消費アイテムは仮選択時に上昇するパラメーターが確認できる,0.95,0,どの装備を入手できるかはランダムだが消費するアイテム種類の割合に応じた法則がある,0.94
1775,育成対象キャラクター入手までには1定時間がかかる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,回復には一定時間かかる,0.94,0,時短アイテムでキャラクター入手までの時間を短縮できる,0.93,0,育成キャラクターの捕獲には専用の消費アイテムが必要,0.92
1776,どの育成対象キャラクター入手できるかはランダムだが消費するアイテム種類の割合に応じた法則がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,どの装備を入手できるかはランダムだが消費するアイテム種類の割合に応じた法則がある,0.99,0,どのパラメータが上昇するかは使用する消費アイテムによって異なる,0.95,0,強化合成で上昇するパラメータは消費する育成対象キャラクターごとに異なる,0.95
1777,時短アイテムでキャラクター入手までの時間を短縮できる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,時短アイテムで回復までの時間を短縮できる,0.98,0,遠征では時間経過でアイテムを獲得できる,0.94,0,派遣では時間経過でアイテムを獲得できる,0.93
1778,キャラクター入手コマンドには設定枠がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,入手コマンド設定枠には上限がある,0.96,0,回復コマンド設定枠には上限がある,0.95,0,所持金を増やすコマンドにはランダムイベントがある,0.94
1779,入手コマンド設定枠には上限がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,回復コマンド設定枠には上限がある,0.98,0,キャラクター入手コマンドには設定枠がある,0.96,0,強化段階には上限がある,0.96
1780,入手コマンド設定枠は最初からすべて解放されていない,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,回復コマンド設定枠は最初からすべて解放されていない,0.99,0,未獲得の称号はリスト表示されない,0.92,0,未獲得の称号の獲得条件はゲーム内で判別できない,0.91
1781,入手コマンド設定枠は課金で解放できる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,回復コマンド設定枠は課金で解放できる,0.98,0,消費アイテムはゲーム内で作成できる,0.94,0,装備作成や回復に必要なアイテムは課金でも獲得できる,0.94
